F1717 Note: Use distance between fixtures as endpoint, NOT distance between test blocks (rotation of the test blocks causes the test to run past the distance between test blocks)

F2077 Note: use distance between test blocks as endpoint
"Time","Sequence","Block","Cycle","Position mm","Load N","Exp_PreLoad Volts"
1.32,1,1,,-22.31907,-2055.4796,-4.8748046
1.324,1,1,,-22.31884,-2062.571,-4.8746151
1.328,1,1,,-22.320301,-2071.0066,-4.8750353
1.332,1,1,,-22.319764,-2081.0857,-4.8759139
1.336,1,1,,-22.321803,-2096.3922,-4.874413
1.34,1,1,,-22.321463,-2112.2828,-4.8749632
1.344,1,1,,-22.324476,-2129.1494,-4.8730516
1.348,1,1,,-22.324366,-2145.9132,-4.8735422
1.352,1,1,,-22.325889,-2161.4611,-4.8744553
1.356,1,1,,-22.32641,-2177.7257,-4.8737943
1.36,1,1,,-22.328511,-2192.4913,-4.8737437
1.364,1,1,,-22.32934,-2206.2898,-4.8755413
1.368,1,1,,-22.329542,-2220.1821,-4.8751533
1.372,1,1,,-22.329361,-2233.2072,-4.875145
1.376,1,1,,-22.331503,-2245.4411,-4.8749977
1.38,1,1,,-22.331477,-2256.3636,-4.8746318
1.384,1,1,,-22.332889,-2268.602,-4.8743308
1.388,1,1,,-22.332704,-2281.3722,-4.8737293
1.392,1,1,,-22.3333,-2292.5779,-4.8755848
1.396,1,1,,-22.33648,-2302.8791,-4.8737252
1.4,1,1,,-22.335512,-2313.2831,-4.8739594
1.404,1,1,,-22.338018,-2321.8006,-4.8750317
1.408,1,1,,-22.337836,-2329.7846,-4.8739839
1.412,1,1,,-22.337747,-2336.5647,-4.8761708
1.416,1,1,,-22.338784,-2342.321,-4.8726869
1.42,1,1,,-22.338206,-2347.5826,-4.8748302
1.424,1,1,,-22.33916,-2354.0288,-4.8739165
1.428,1,1,,-22.338924,-2361.1829,-4.8753142
1.432,1,1,,-22.340095,-2370.6421,-4.8740751
1.436,1,1,,-22.341517,-2382.4006,-4.8737705
1.44,1,1,,-22.34208,-2393.6674,-4.8749763
1.444,1,1,,-22.343478,-2407.2021,-4.8751557
1.448,1,1,,-22.342983,-2424.2774,-4.8755187
1.452,1,1,,-22.344548,-2440.7223,-4.8740047
1.456,1,1,,-22.345576,-2458.5903,-4.8740339
1.46,1,1,,-22.347415,-2475.1946,-4.8744649
1.464,1,1,,-22.348708,-2490.893,-4.8740983
1.468,1,1,,-22.348366,-2508.6641,-4.8752362
1.472,1,1,,-22.350025,-2526.3309,-4.8750263
1.476,1,1,,-22.350669,-2542.1947,-4.8740715
1.48,1,1,,-22.352526,-2558.2895,-4.8755604
1.484,1,1,,-22.354102,-2571.9017,-4.8742604
1.488,1,1,,-22.353766,-2585.2263,-4.8734188
1.492,1,1,,-22.353682,-2596.1027,-4.8746264
1.496,1,1,,-22.354776,-2606.4306,-4.8746908
1.5,1,1,,-22.356251,-2612.6519,-4.8735464
1.504,1,1,,-22.356823,-2619.7046,-4.8747379
1.508,1,1,,-22.356916,-2623.6132,-4.8739517
1.512,1,1,,-22.356773,-2628.389,-4.8747289
1.516,1,1,,-22.357586,-2634.3763,-4.8740119
1.52,1,1,,-22.358179,-2641.6138,-4.8746365
